Species	Accession	Clade
Beaufortia kweichowensis	GCA_019155185.1	metazoa
Betta splendens	GCA_900634795.2	metazoa
Betta splendens	GCA_900634795.3	metazoa
Carassius auratus red var.	GCA_009069565.1	metazoa
Channa argus	GCA_018997905.1	metazoa
Cheilinus undulatus	GCA_018320785.1	metazoa
Chelmon rostratus	GCA_017976325.1	metazoa
Clarias gariepinus	GCA_024256425.1	metazoa
Clupea harengus	GCA_900700415.2	metazoa
Coilia nasus	GCA_027475355.1	metazoa
Collichthys lucidus	GCA_004119915.2	metazoa
Coregonus clupeaformis	GCA_018398675.1	metazoa
Cottoperca gobio	GCA_900634415.1	metazoa
Culter alburnus	GCA_009869775.1	metazoa
Cyclopterus lumpus	GCA_009769545.1	metazoa
Cyprinus carpio carpio	GCA_905221575.1	metazoa
Danio aesculapii	GCA_903798145.1	metazoa
Denticeps clupeoides	GCA_900700375.2	metazoa
Denticeps clupeoides	GCA_900700375.1	metazoa
Dicentrarchus labrax	GCA_905237075.1	metazoa
Echeneis naucrates	GCA_900963305.1	metazoa
Electrophorus electricus	GCA_013358815.1	metazoa
Erpetoichthys calabaricus	GCA_900747795.2	metazoa
Esox lucius	GCA_011004845.1	metazoa
Gadus morhua	GCA_010882105.1	metazoa
Gadus morhua	GCA_902167405.1	metazoa
Gasterosteus aculeatus	GCA_006232265.1	metazoa
Gasterosteus aculeatus	GCA_006229185.1	metazoa
Gasterosteus aculeatus	GCA_006232285.1	metazoa
Gasterosteus aculeatus aculeatus	GCA_016920845.1	metazoa
Girardinichthys multiradiatus	GCA_021462225.2	metazoa
Gobiocypris rarus	GCA_023029165.1	metazoa
Gouania willdenowi	GCA_900634775.1	metazoa
Gymnodraco acuticeps	GCA_902827175.1	metazoa
Harpagifer antarcticus	GCA_902827135.1	metazoa
Hemibagrus wyckioides	GCA_019097595.1	metazoa
Hippoglossus hippoglossus	GCA_009819705.1	metazoa
Ictalurus punctatus	GCA_004006655.3	metazoa
Labeo catla	GCA_012976165.1	metazoa
Lampris incognitus	GCA_022059245.1	metazoa
Larimichthys crocea	GCA_003711585.2	metazoa
Mastacembelus armatus	GCA_900324485.2	metazoa
Mastacembelus armatus	GCA_900324485.1	metazoa
Megalops cyprinoides	GCA_013368585.1	metazoa
Melanotaenia boesemani	GCA_017639745.1	metazoa
Micropterus salmoides	GCA_022435785.1	metazoa
Mugil cephalus	GCA_022458985.1	metazoa
Myripristis murdjan	GCA_902150065.1	metazoa
Nibea albiflora	GCA_014281875.1	metazoa
Nibea coibor	GCA_023373845.1	metazoa
Nothobranchius furzeri	GCA_001465895.2	metazoa
Nothobranchius kuhntae	GCA_006942095.1	metazoa
Notolabrus celidotus	GCA_009762535.1	metazoa
Oncorhynchus gorbuscha	GCA_017355495.1	metazoa
Oncorhynchus keta	GCA_023373465.1	metazoa
Oncorhynchus kisutch	GCA_002021735.2	metazoa
Oncorhynchus mykiss	GCA_013265735.3	metazoa
Oncorhynchus nerka	GCA_006149115.1	metazoa
Oncorhynchus tshawytscha	GCA_018296145.1	metazoa
Oreochromis aureus	GCA_013358895.1	metazoa
Oryzias latipes	GCA_002234715.1	metazoa
Oryzias latipes	GCA_947078785.1	metazoa
Oryzias latipes	GCA_947078765.1	metazoa
Oryzias latipes	GCA_947078805.1	metazoa
Oryzias latipes	GCA_947078795.1	metazoa
Oryzias latipes	GCA_947078775.1	metazoa
Oryzias latipes	GCA_947078815.1	metazoa
Oryzias latipes	GCA_002234675.1	metazoa
Oryzias latipes	GCA_947076645.1	metazoa
Oryzias latipes	GCA_947078855.1	metazoa
Oryzias latipes	GCA_947078845.1	metazoa
Oryzias latipes	GCA_002234695.1	metazoa
Oryzias latipes	GCA_947078865.1	metazoa
Oryzias latipes	GCA_947078835.1	metazoa
Oryzias latipes	GCA_947078825.1	metazoa
Pangasianodon hypophthalmus	GCA_027358585.1	metazoa
Paracanthobrama guichenoti	GCA_018749465.1	metazoa
Paralichthys olivaceus	GCA_024713975.2	metazoa
Parambassis ranga	GCA_900634625.1	metazoa
Parambassis ranga	GCA_900634625.2	metazoa
Periophthalmus magnuspinnatus	GCA_009829125.3	metazoa
Periophthalmus magnuspinnatus	GCA_009829125.1	metazoa
Pholidichthys leucotaenia	GCA_020510985.1	metazoa
Pholis gunnellus	GCA_910591455.2	metazoa
Phyllopteryx taeniolatus	GCA_024500385.1	metazoa
Plectropomus leopardus	GCA_011397275.1	metazoa
Pleuronectes platessa	GCA_947347685.1	metazoa
Poecilia formosa	GCA_013036085.2	metazoa
Pseudochaenichthys georgianus	GCA_902827115.1	metazoa
Pseudoliparis sp. Yap Trench	GCA_004335475.1	metazoa
Pygocentrus nattereri	GCA_015220715.1	metazoa
Reinhardtius hippoglossoides	GCA_006182925.3	metazoa
Salarias fasciatus	GCA_902148845.1	metazoa
Salmo salar	GCA_931346935.2	metazoa
Salmo salar	GCA_905237065.2	metazoa
Salmo salar	GCA_021399835.1	metazoa
Salmo salar	GCA_923944775.1	metazoa
Salmo trutta	GCA_901001165.1	metazoa
Salvelinus namaycush	GCA_016432855.1	metazoa
Sander lucioperca	GCA_008315115.1	metazoa
Scleropages formosus	GCA_900964775.1	metazoa
Scophthalmus maximus	GCA_013347765.1	metazoa
Scophthalmus maximus	GCA_022379125.1	metazoa
Sebastes umbrosus	GCA_015220745.1	metazoa
Silurus aristotelis	GCA_946808225.1	metazoa
Solea senegalensis	GCA_919967415.2	metazoa
Solea solea	GCA_958295425.1	metazoa
Sparus aurata	GCA_900880675.1	metazoa
Sphaeramia orbicularis	GCA_902148855.1	metazoa
Syngnathus acus	GCA_901709675.2	metazoa
Syngnathus scovelli	GCA_024217435.4	metazoa
Takifugu bimaculatus	GCA_004026145.2	metazoa
Takifugu rubripes	GCA_901000725.2	metazoa
Telmatherina bonti	GCA_933228915.1	metazoa
Thalassophryne amazonica	GCA_902500255.1	metazoa
Thamnaconus septentrionalis	GCA_009823395.1	metazoa
Thunnus albacares	GCA_914725855.1	metazoa
Thunnus orientalis	GCA_009176245.1	metazoa
Thymallus thymallus	GCA_004348285.1	metazoa
Toxotes jaculatrix	GCA_017976425.1	metazoa
Trachinotus ovatus	GCA_900607315.1	metazoa
Trachurus trachurus	GCA_905171665.1	metazoa
Trematomus bernacchii	GCA_902827165.1	metazoa
Triplophysa dalaica	GCA_015846415.1	metazoa
Triplophysa siluroides	GCA_006030095.1	metazoa
Triplophysa tibetana	GCA_008369825.1	metazoa
Tropheus moorii	GCA_902810505.1	metazoa
Verasper variegatus	GCA_013332515.1	metazoa
Verasper variegatus	GCA_012393435.1	metazoa
Acanthosoma haemorrhoidale	GCA_930367205.1	metazoa
Acyrthosiphon pisum	GCA_005508785.2	metazoa
Adelges cooleyi	GCA_023614345.1	metazoa
Aelia acuminata	GCA_911387785.2	metazoa
Aphis gossypii	GCA_917880025.1	metazoa
Bemisia tabaci	GCA_918797505.1	metazoa
Cimex lectularius	GCA_000648675.3	metazoa
Daktulosphaira vitifoliae	GCA_025091365.1	metazoa
Diaphorina citri	GCA_000475195.1	metazoa
Diuraphis noxia	GCA_001186385.1	metazoa
Drepanosiphum platanoidis	GCA_948098885.1	metazoa
Drepanosiphum platanoidis	GCA_948098895.1	metazoa
Euschistus heros	GCA_003667255.1	metazoa
Gerris lacustris	GCA_951217055.1	metazoa
Gonocerus acuteangulatus	GCA_946811695.1	metazoa
Halyomorpha halys	GCA_000696795.2	metazoa
Homalodisca vitripennis	GCA_021130785.2	metazoa
Macrosteles quadrilineatus	GCA_028750875.1	metazoa
Melanaphis sacchari	GCA_002803265.2	metazoa
Myzus persicae	GCA_001856785.1	metazoa
Nezara viridula	GCA_928085145.1	metazoa
Nilaparvata lugens	GCA_014356525.1	metazoa
Orius laevigatus	GCA_018703685.1	metazoa
Periphyllus acericola	GCA_949715065.1	metazoa
Planococcus citri	GCA_950023065.1	metazoa
Rhaphigaster nebulosa	GCA_948150685.1	metazoa
Rhopalosiphum maidis	GCA_003676215.3	metazoa
Sipha flava	GCA_003268045.1	metazoa
Acromyrmex echinatior	GCA_000204515.1	metazoa
Amblyteles armatorius	GCA_933228735.2	metazoa
Amblyteles armatorius	GCA_933228735.1	metazoa
Ancistrocerus nigricornis	GCA_916049575.1	metazoa
Ancistrocerus nigricornis	GCA_916050135.1	metazoa
Andrena bucephala	GCA_947577245.1	metazoa
Andrena dorsata	GCA_929108735.1	metazoa
Andrena dorsata	GCA_929114765.1	metazoa
Andrena fulva	GCA_946251845.1	metazoa
Andrena haemorrhoa	GCA_910592125.1	metazoa
Andrena haemorrhoa	GCA_910592295.1	metazoa
Andrena hattorfiana	GCA_944738655.2	metazoa
Andrena hattorfiana	GCA_944738655.1	metazoa
Andrena minutula	GCA_929113495.1	metazoa
Andrena minutula	GCA_929113085.1	metazoa
Andrena trimmerana	GCA_951215215.1	metazoa
Andrena trimmerana	GCA_951212825.1	metazoa
Anoplius nigerrimus	GCA_914767735.1	metazoa
Anoplius nigerrimus	GCA_914767785.1	metazoa
Anoplius nigerrimus	GCA_914767785.2	metazoa
Aphidius gifuensis	GCA_014905175.1	metazoa
Apis dorsata	GCA_000469605.1	metazoa
Apis florea	GCA_000184785.2	metazoa
Athalia rosae	GCA_917208135.1	metazoa
Athalia rosae	GCA_917207985.2	metazoa
Athalia rosae	GCA_000344095.2	metazoa
Bombus bifarius	GCA_011952205.1	metazoa
Bombus breviceps	GCA_014825925.1	metazoa
Bombus campestris	GCA_905333015.1	metazoa
Bombus campestris	GCA_905333015.3	metazoa
Bombus campestris	GCA_905333015.2	metazoa
Bombus confusus	GCA_014737475.1	metazoa
Bombus consobrinus	GCA_014737455.1	metazoa
Bombus cullumanus	GCA_014737535.1	metazoa
Bombus difficillimus	GCA_014737525.1	metazoa
Bombus haemorrhoidalis	GCA_014825975.1	metazoa
Bombus hortorum	GCA_905332935.1	metazoa
Bombus huntii	GCA_024542735.1	metazoa
Bombus hypnorum	GCA_911387925.2	metazoa
Bombus hypnorum	GCA_911387925.1	metazoa
Bombus ignitus	GCA_014825875.1	metazoa
Bombus impatiens	GCA_000188095.4	metazoa
Bombus opulentus	GCA_014737405.1	metazoa
Bombus pascuorum	GCA_905332995.1	metazoa
Bombus pascuorum	GCA_905332965.1	metazoa
Bombus picipes	GCA_014737485.1	metazoa
Bombus polaris	GCA_014737335.1	metazoa
Bombus pratorum	GCA_930367225.1	metazoa
Bombus pratorum	GCA_930367275.1	metazoa
Bombus pyrosoma	GCA_014825855.1	metazoa
Bombus sibiricus	GCA_014737505.1	metazoa
Bombus skorikovi	GCA_014737355.1	metazoa
Bombus soroeensis	GCA_014737365.1	metazoa
Bombus superbus	GCA_014737385.1	metazoa
Bombus sylvestris	GCA_911622165.2	metazoa
Bombus sylvestris	GCA_911622165.1	metazoa
Bombus terrestris	GCA_910592195.2	metazoa
Bombus terrestris	GCA_910591885.2	metazoa
Bombus terrestris	GCA_000214255.1	metazoa
Bombus terrestris	GCA_910591885.1	metazoa
Bombus turneri	GCA_014825825.1	metazoa
Bombus vancouverensis nearcticus	GCA_011952275.1	metazoa
Bombus vosnesenskii	GCA_011952255.1	metazoa
Bombus waltoni	GCA_014737395.1	metazoa
Buathra laborator	GCA_934046145.1	metazoa
Buathra laborator	GCA_934046635.1	metazoa
Camponotus floridanus	GCA_003227725.1	metazoa
Cataglyphis hispanica	GCA_021464435.1	metazoa
Cerceris rybyensis	GCA_910591515.1	metazoa
Cerceris rybyensis	GCA_910591445.2	metazoa
Chelonus insularis	GCA_013357705.1	metazoa
Clistopyga incitator	GCA_947507545.1	metazoa
Clistopyga incitator	GCA_947507575.1	metazoa
Colletes gigas	GCA_013123115.1	metazoa
Copidosoma floridanum	GCA_000648655.2	metazoa
Cotesia glomerata	GCA_020080835.1	metazoa
Dolichovespula media	GCA_911387685.1	metazoa
Dolichovespula media	GCA_911387715.2	metazoa
Dolichovespula saxonica	GCA_911387935.1	metazoa
Dolichovespula sylvestris	GCA_918808275.1	metazoa
Dufourea novaeangliae	GCA_001272555.1	metazoa
Ectemnius continuus	GCA_910591485.1	metazoa
Ectemnius continuus	GCA_910591665.1	metazoa
Ectemnius lituratus	GCA_910593735.2	metazoa
Ectemnius lituratus	GCA_910593735.1	metazoa
Eufriesea mexicana	GCA_001483705.1	metazoa
Gasteruption jaculator	GCA_949825005.1	metazoa
Habropoda laboriosa	GCA_001263275.1	metazoa
Harpegnathos saltator	GCA_003227715.2	metazoa
Ichneumon xanthorius	GCA_917498535.1	metazoa
Ichneumon xanthorius	GCA_917499995.1	metazoa
Lasioglossum lativentre	GCA_916610255.1	metazoa
Lasioglossum morio	GCA_916610115.1	metazoa
Lasioglossum morio	GCA_916610235.2	metazoa
Lasioglossum pauxillum	GCA_933228795.1	metazoa
Lasioglossum pauxillum	GCA_933228785.1	metazoa
Linepithema humile	GCA_000217595.1	metazoa
Macrophya alboannulata	GCA_949628255.1	metazoa
Macropis europaea	GCA_916610135.1	metazoa
Megachile ligniseca	GCA_945859565.1	metazoa
Megachile ligniseca	GCA_945859555.1	metazoa
Megachile rotundata	GCA_000220905.1	metazoa
Megachile willughbiella	GCA_945859595.2	metazoa
Microctonus aethiopoides	GCA_030272935.1	metazoa
Microctonus aethiopoides	GCA_030347275.1	metazoa
Microctonus aethiopoides	GCA_030272655.1	metazoa
Microctonus brassicae	GCA_940306215.1	metazoa
Microctonus hyperodae	GCA_030347285.1	metazoa
Mimumesa dahlbomi	GCA_917499265.1	metazoa
Monomorium pharaonis	GCA_013373865.2	metazoa
Neodiprion lecontei	GCA_021901455.1	metazoa
Neodiprion lecontei	GCA_021901455.1	metazoa
Neodiprion pinetum	GCA_021155775.1	metazoa
Neodiprion virginianus	GCA_021901495.1	metazoa
Nomada fabriciana	GCA_907165295.1	metazoa
Nomada fabriciana	GCA_907165305.1	metazoa
Nomada fucata	GCA_948146005.1	metazoa
Nysson spinosus	GCA_910591585.1	metazoa
Nysson spinosus	GCA_910591585.2	metazoa
Nysson spinosus	GCA_910591465.1	metazoa
Ooceraea biroi	GCA_003672135.1	metazoa
Ophion luteus	GCA_944452715.1	metazoa
Ophion luteus	GCA_944452655.1	metazoa
Orussus abietinus	GCA_000612105.2	metazoa
Osmia bicornis bicornis	GCA_907164925.1	metazoa
Osmia bicornis bicornis	GCA_907164935.1	metazoa
Pemphredon lugubris	GCA_933228935.1	metazoa
Pogonomyrmex barbatus	GCA_000187915.1	metazoa
Polistes canadensis	GCA_001313835.1	metazoa
Polistes dominula	GCA_001465965.1	metazoa
Polistes fuscatus	GCA_010416935.1	metazoa
Rhogogaster chlorosoma	GCA_944452905.1	metazoa
Rhogogaster chlorosoma	GCA_944452935.1	metazoa
Seladonia tumulorum	GCA_913789895.3	metazoa
Sphecodes monilicornis	GCA_913789915.3	metazoa
Sphecodes monilicornis	GCA_913789915.1	metazoa
Stelis phaeoptera	GCA_943735885.1	metazoa
Stelis phaeoptera	GCA_943735895.1	metazoa
Tenthredo distinguenda	GCA_947538915.1	metazoa
Tenthredo mesomela	GCA_943736025.1	metazoa
Tenthredo mesomela	GCA_943736035.1	metazoa
Tenthredo notha	GCA_914767705.1	metazoa
Tenthredo notha	GCA_914767705.2	metazoa
Tenthredo notha	GCA_914767975.1	metazoa
Tiphia femorata	GCA_944319705.1	metazoa
Tiphia femorata	GCA_944319695.1	metazoa
Trichogramma pretiosum	GCA_000599845.3	metazoa
Venturia canescens	GCA_019457755.1	metazoa
Vespa crabro	GCA_910589235.2	metazoa
Vespa crabro	GCA_910589515.1	metazoa
Vespa velutina	GCA_912470025.1	metazoa
Vespula germanica	GCA_905340365.1	metazoa
Vespula germanica	GCA_905340295.1	metazoa
Vespula vulgaris	GCA_905475345.1	metazoa
Vespula vulgaris	GCA_905404185.1	metazoa
Abrostola tripartita	GCA_905340255.1	metazoa
Abrostola tripartita	GCA_905340225.1	metazoa
Abrostola triplasia	GCA_946251915.1	metazoa
Abrostola triplasia	GCA_946251925.1	metazoa
Acentria ephemerella	GCA_943193655.1	metazoa
Acentria ephemerella	GCA_943193645.1	metazoa
Achlya flavicornis	GCA_947623365.1	metazoa
Acleris cristana	GCA_948252455.1	metazoa
Acleris emargana	GCA_927399475.2	metazoa
Acleris emargana	GCA_927399445.1	metazoa
Acleris emargana	GCA_927399475.1	metazoa
Acleris literana	GCA_946894075.1	metazoa
Acleris literana	GCA_946894065.1	metazoa
Acleris sparsana	GCA_923062465.1	metazoa
Acleris sparsana	GCA_923061745.1	metazoa
Acrobasis suavella	GCA_943193685.1	metazoa
Acrobasis suavella	GCA_943193695.1	metazoa
Acronicta aceris	GCA_910591495.2	metazoa
Acronicta aceris	GCA_910591435.1	metazoa
Acronicta leporina	GCA_947256265.1	metazoa
Acronicta psi	GCA_946251945.1	metazoa
Acronicta psi	GCA_946251955.1	metazoa
Agonopterix subpropinquella	GCA_922987765.1	metazoa
Agonopterix subpropinquella	GCA_922987775.1	metazoa
Agriopis aurantiaria	GCA_914767795.1	metazoa
Agriopis aurantiaria	GCA_914767915.1	metazoa
Agriopis leucophaearia	GCA_949125385.1	metazoa
Agriopis leucophaearia	GCA_949125355.1	metazoa
Agriopis marginaria	GCA_932301435.1	metazoa
Agriopis marginaria	GCA_932305915.1	metazoa
Agriphila geniculea	GCA_927399405.1	metazoa
Agriphila geniculea	GCA_943789525.1	metazoa
Agriphila geniculea	GCA_943789515.1	metazoa
Agriphila geniculea	GCA_927400025.1	metazoa
Agriphila straminella	GCA_950108535.1	metazoa
Agriphila straminella	GCA_950109475.1	metazoa
Agriphila tristella	GCA_928269205.1	metazoa
Agriphila tristella	GCA_928269145.1	metazoa
Agrochola circellaris	GCA_914767685.1	metazoa
Agrochola circellaris	GCA_914767755.1	metazoa
Agrochola litura	GCA_949152395.1	metazoa
Agrochola lota	GCA_947364205.1	metazoa
Agrochola lota	GCA_947364295.1	metazoa
Agrochola macilenta	GCA_916701705.1	metazoa
Agrochola macilenta	GCA_916701695.1	metazoa
Agrotis exclamationis	GCA_950005045.1	metazoa
Agrotis puta	GCA_943137145.2	metazoa
Agrotis puta	GCA_943136025.1	metazoa
Agrotis puta	GCA_943136025.2	metazoa
Agrotis puta	GCA_943137145.1	metazoa
Alcis repandata	GCA_949125135.1	metazoa
Allophyes oxyacanthae	GCA_932294395.1	metazoa
Allophyes oxyacanthae	GCA_932294325.1	metazoa
Alsophila aescularia	GCA_946251855.1	metazoa
Alsophila aescularia	GCA_946251895.1	metazoa
Amorpha juglandis	GCA_949126845.1	metazoa
Amorpha juglandis	GCA_949126905.1	metazoa
Amphipoea lucens	GCA_947507765.1	metazoa
Amphipoea lucens	GCA_947508005.1	metazoa
Amphipoea oculea	GCA_945859645.1	metazoa
Amphipyra berbera	GCA_910594945.1	metazoa
Amphipyra berbera	GCA_910595045.1	metazoa
Amphipyra berbera	GCA_910594945.2	metazoa
Amphipyra tragopoginis	GCA_905220425.1	metazoa
Amphipyra tragopoginis	GCA_905220435.1	metazoa
Amyelois transitella	GCA_001186105.1	metazoa
Anania crocealis	GCA_949315895.1	metazoa
Anarsia innoxiella	GCA_947563765.1	metazoa
Anorthoa munda	GCA_945859655.1	metazoa
Anorthoa munda	GCA_945859665.1	metazoa
Anthocharis cardamines	GCA_905404175.1	metazoa
Anthocharis cardamines	GCA_905404305.1	metazoa
Anticlea derivata	GCA_947579855.1	metazoa
Antitype chi	GCA_947359415.1	metazoa
Antitype chi	GCA_947359405.1	metazoa
Apamea crenata	GCA_949629175.1	metazoa
Apamea crenata	GCA_949629185.1	metazoa
Apamea epomidion	GCA_947507525.1	metazoa
Apamea epomidion	GCA_947507555.1	metazoa
Apamea monoglypha	GCA_911387795.2	metazoa
Apamea monoglypha	GCA_911387735.2	metazoa
Apamea sordens	GCA_945859755.1	metazoa
Apamea sordens	GCA_945859715.1	metazoa
Apeira syringaria	GCA_934045895.1	metazoa
Apeira syringaria	GCA_934044485.1	metazoa
Aplocera efformata	GCA_921293045.1	metazoa
Aplocera efformata	GCA_921293035.1	metazoa
Apocheima hispidaria	GCA_947579745.1	metazoa
Apocheima hispidaria	GCA_947581315.1	metazoa
Apoda limacodes	GCA_946406115.1	metazoa
Apomyelois bistriatella	GCA_947044815.1	metazoa
Aporia crataegi	GCA_912999795.2	metazoa
Aporia crataegi	GCA_912999795.1	metazoa
Aporia crataegi	GCA_912999735.1	metazoa
Aporophyla lueneburgensis	GCA_932294355.1	metazoa
Aporophyla lueneburgensis	GCA_932294405.1	metazoa
Aporophyla nigra	GCA_947507805.1	metazoa
Apotomis betuletana	GCA_932273875.1	metazoa
Apotomis betuletana	GCA_932273695.1	metazoa
Apotomis capreana	GCA_947623375.1	metazoa
Apotomis capreana	GCA_947623195.1	metazoa
Apotomis turbidana	GCA_905147355.2	metazoa
Apotomis turbidana	GCA_905147195.1	metazoa
Aproaerema taeniolella	GCA_949987775.1	metazoa
Archips crataeganus	GCA_947859365.1	metazoa
Archips xylosteana	GCA_947563465.1	metazoa
Argyresthia goedartella	GCA_949825045.1	metazoa
Argyresthia goedartella	GCA_949825015.1	metazoa
Aricia agestis	GCA_905147365.1	metazoa
Aricia agestis	GCA_944452695.1	metazoa
Aricia agestis	GCA_944452645.1	metazoa
Aricia artaxerxes	GCA_937612035.1	metazoa
Aricia artaxerxes	GCA_937610355.1	metazoa
Asteroscopus sphinx	GCA_949699085.1	metazoa
Atethmia centrago	GCA_905333075.3	metazoa
Atethmia centrago	GCA_905332945.1	metazoa
Athrips mouffetella	GCA_947532105.1	metazoa
Autographa gamma	GCA_905146925.1	metazoa
Autographa gamma	GCA_905146835.1	metazoa
Autographa pulchrina	GCA_905475315.1	metazoa
Autographa pulchrina	GCA_905475435.1	metazoa
Bembecia ichneumoniformis	GCA_910589475.1	metazoa
Bembecia ichneumoniformis	GCA_910589565.1	metazoa
Bembecia ichneumoniformis	GCA_910589475.2	metazoa
Bicyclus anynana	GCA_900239965.1	metazoa
Biston betularia	GCA_905404215.1	metazoa
Biston betularia	GCA_905404145.2	metazoa
Biston betularia	GCA_905404145.1	metazoa
Biston stratarius	GCA_950106675.1	metazoa
Biston stratarius	GCA_950106695.1	metazoa
Blastobasis adustella	GCA_907269055.1	metazoa
Blastobasis adustella	GCA_907269095.1	metazoa
Blastobasis lacticolella	GCA_905147205.1	metazoa
Blastobasis lacticolella	GCA_905147135.1	metazoa
Boloria selene	GCA_905231865.2	metazoa
Boloria selene	GCA_905231875.1	metazoa
Bombyx mandarina	GCA_003987935.1	metazoa
Brachylomia viminalis	GCA_937001585.1	metazoa
Brachylomia viminalis	GCA_937001565.1	metazoa
Brachylomia viminalis	GCA_937001585.2	metazoa
Brenthis ino	GCA_921882275.1	metazoa
Calamotropha paludella	GCA_927399455.1	metazoa
Calamotropha paludella	GCA_927399485.1	metazoa
Callimorpha dominula	GCA_949752705.1	metazoa
Campaea margaritaria	GCA_912999775.1	metazoa
